;Index,County,YEAR,HH,HH_Pop,HH_Size,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CoName
32045,3,2045,16102,41264,2.56,21438,1746,1159,3226,1708,1502,2726,1733,4442,206,14,2150,827,Box Elder County
32046,3,2046,16266,41610,2.56,21570,1756,1148,3219,1732,1532,2747,1743,4500,204,14,2139,834,Box Elder County
32047,3,2047,16409,41948,2.56,21465,1768,1157,3141,1755,1541,2768,1754,4485,202,14,2039,842,Box Elder County
32048,3,2048,16551,42276,2.55,21550,1745,1165,3135,1777,1569,2788,1740,4542,201,14,2025,849,Box Elder County
32049,3,2049,16686,42600,2.55,21554,1756,1172,3128,1801,1597,2762,1750,4599,199,14,1919,857,Box Elder County
32050,3,2050,16839,42146,2.5,21625,1765,1181,3122,1824,1604,2783,1760,4655,197,14,1854,865,Box Elder County
32051,3,2051,16984,42452,2.5,22184,1776,1189,3115,1847,1634,2803,1769,4713,196,14,2256,873,Box Elder County
32052,3,2052,16831,42759,2.54,22310,1786,1177,3108,1920,1666,2822,1777,4694,196,14,2287,865,Box Elder County
32053,3,2053,16979,43061,2.54,22450,1796,1185,3101,1943,1673,2841,1761,4751,194,14,2317,874,Box Elder County
32054,3,2054,17124,43362,2.53,22636,1806,1192,3094,1966,1704,2860,1770,4807,194,14,2349,880,Box Elder County
32055,3,2055,17284,43668,2.53,22822,1815,1200,3087,1989,1734,2880,1778,4865,193,14,2379,889,Box Elder County
32056,3,2056,17443,43974,2.52,22890,1825,1207,3010,2012,1765,2851,1787,4921,192,13,2410,896,Box Elder County
32057,3,2057,17618,44288,2.51,23067,1800,1215,3004,2035,1770,2869,1796,4977,191,13,2492,904,Box Elder County
32058,3,2058,17785,44605,2.51,23170,1809,1222,2998,2058,1800,2889,1805,4951,190,13,2523,912,Box Elder County
32059,3,2059,17967,44926,2.5,23327,1820,1229,2992,2082,1829,2907,1787,5006,189,13,2553,920,Box Elder County
32060,3,2060,18148,45249,2.49,23490,1830,1218,2985,2104,1859,2926,1795,5061,188,13,2585,927,Box Elder County
111990,11,1990,54113,185237,3.42,85466,9781,3945,7948,5275,4088,27789,4910,13430,865,184,4187,3064,Davis County
111991,11,1991,55864,190382,3.41,88916,10284,4162,8184,5527,4445,27733,5209,14411,867,185,4700,3209,Davis County
111992,11,1992,57614,195527,3.39,92365,10787,4380,8422,5781,4799,27674,5508,15389,868,187,5213,3357,Davis County
111993,11,1993,59365,200671,3.38,95815,11291,4596,8659,6034,5151,27614,5808,16367,871,188,5728,3508,Davis County
111994,11,1994,61115,205816,3.37,99264,11795,4814,8897,6287,5502,27552,6107,17343,873,190,6242,3662,Davis County
111995,11,1995,62866,210961,3.36,102714,12298,5032,9136,6541,5852,27488,6406,18318,875,191,6756,3821,Davis County
111996,11,1996,64616,216106,3.34,106164,12807,5250,9374,6794,6201,27422,6705,19291,877,192,7271,3980,Davis County
111997,11,1997,66367,221251,3.33,109613,13312,5468,9612,7047,6548,27355,7004,20264,880,194,7786,4143,Davis County
111998,11,1998,68117,226395,3.32,113063,13819,5685,9850,7301,6894,27286,7304,21236,883,195,8303,4307,Davis County
111999,11,1999,69868,231540,3.31,116512,14324,5903,10089,7556,7239,27216,7603,22206,886,197,8818,4475,Davis County
112000,11,2000,71618,236685,3.3,119962,14806,6117,10317,7802,7650,27231,7902,23237,880,198,9317,4505,Davis County
112001,11,2001,73844,243442,3.3,122336,14864,6228,10138,7774,8143,27496,8119,24612,858,212,9251,4641,Davis County
112002,11,2002,76069,250199,3.29,126000,15078,6406,10069,7831,8718,28054,8421,26238,846,228,9284,4827,Davis County
112003,11,2003,78295,256955,3.28,128492,15154,6524,9910,7815,9210,28352,8644,27614,827,241,9234,4967,Davis County
112004,11,2004,80520,263712,3.28,134194,15608,6804,9995,7994,9935,29357,9084,29685,827,261,9412,5232,Davis County
112005,11,2005,82746,270469,3.27,138780,15927,7028,9989,8102,10584,30112,9450,31529,820,279,9506,5454,Davis County
112006,11,2006,84972,277226,3.26,145463,16480,7357,10125,8328,11402,31315,9960,33873,824,301,9738,5760,Davis County
112007,11,2007,87197,283983,3.26,152222,17032,7691,10251,8552,12238,32524,10477,36268,829,324,9965,6071,Davis County
112008,11,2008,89423,290739,3.25,153355,16955,7740,9998,8460,12622,32530,10608,37325,801,335,9825,6156,Davis County
112009,11,2009,91648,297496,3.25,150898,16494,7608,9529,8176,12695,31788,10486,37464,757,338,9465,6098,Davis County
112010,11,2010,94048,304323,3.24,149805,16193,7546,9167,7978,12864,31349,10457,37891,722,343,9205,6090,Davis County
112011,11,2011,96667,309937,3.21,155800,16770,7863,9474,8314,13526,32276,10973,39387,734,356,9771,6356,Davis County
112012,11,2012,99068,315098,3.18,158405,16977,8012,9573,8468,13898,32493,11253,40024,730,362,10132,6483,Davis County
112013,11,2013,101490,320991,3.16,162194,17313,8219,9744,8686,14377,32946,11620,40959,730,371,10569,6660,Davis County
112014,11,2014,103941,326385,3.14,166971,17750,8478,9971,8958,14946,33591,12059,42144,735,382,11078,6879,Davis County
112015,11,2015,106535,332607,3.12,172612,18275,8780,10248,9276,15600,34398,12565,43547,743,395,11651,7134,Davis County
112016,11,2016,109089,339116,3.11,178318,18807,9087,10527,9598,16265,35204,13081,44964,750,407,12237,7391,Davis County
112017,11,2017,111549,344692,3.09,183725,19305,9379,10785,9905,16908,35938,13576,46305,756,420,12810,7638,Davis County
112018,11,2018,114179,350474,3.07,188654,19749,9648,11013,10187,17512,36569,14041,47525,759,431,13356,7864,Davis County
112019,11,2019,116713,355949,3.05,193153,20146,9894,11215,10445,18080,37106,14476,48636,760,441,13878,8076,Davis County
112020,11,2020,119153,361017,3.03,197304,20506,10123,11395,10686,18619,37570,14887,49660,759,450,14378,8271,Davis County
112021,11,2021,121652,365892,3.01,201174,20795,10321,11442,10869,19225,38142,15255,50677,759,455,14773,8461,Davis County
112022,11,2022,124039,370332,2.99,204873,21064,10511,11477,11042,19820,38678,15611,51654,758,459,15157,8642,Davis County
112023,11,2023,126316,374390,2.96,208435,21318,10694,11501,11208,20405,39185,15958,52595,756,463,15533,8819,Davis County
112024,11,2024,128550,378167,2.94,211887,21561,10870,11515,11366,20983,39669,16298,53510,753,467,15902,8993,Davis County
112025,11,2025,130716,381716,2.92,215258,21792,11043,11523,11521,21558,40134,16633,54405,749,470,16269,9161,Davis County
112026,11,2026,132920,385495,2.9,218568,22015,11212,11524,11671,22131,40587,16964,55286,745,473,16631,9329,Davis County
112027,11,2027,135143,389369,2.88,221837,22233,11380,11521,11819,22702,41029,17292,56156,741,476,16992,9496,Davis County
112028,11,2028,137410,393383,2.86,225077,22448,11546,11513,11964,23273,41463,17621,57020,737,479,17353,9660,Davis County
112029,11,2029,139672,397513,2.85,228295,22656,11711,11503,12109,23846,41892,17947,57879,732,481,17713,9826,Davis County
112030,11,2030,141997,401759,2.83,231494,22863,11875,11489,12252,24420,42315,18274,58734,728,484,18072,9988,Davis County
112031,11,2031,144425,406083,2.81,234668,23079,12043,11462,12375,25072,42767,18556,59568,724,484,18382,10156,Davis County
112032,11,2032,146838,410509,2.8,237805,23290,12211,11432,12496,25724,43210,18836,60394,720,484,18690,10318,Davis County
112033,11,2033,149272,415025,2.78,240899,23495,12376,11398,12614,26375,43644,19113,61209,717,484,18994,10480,Davis County
112034,11,2034,151697,419577,2.77,243952,23695,12539,11359,12729,27025,44069,19386,62014,713,484,19297,10642,Davis County
112035,11,2035,154027,424157,2.75,246967,23891,12700,11317,12842,27675,44487,19658,62808,709,484,19596,10800,Davis County
112036,11,2036,156231,428755,2.74,249946,24083,12860,11271,12952,28322,44896,19926,63595,704,483,19894,10960,Davis County
112037,11,2037,158419,433360,2.74,252891,24270,13017,11223,13061,28969,45298,20192,64374,700,483,20189,11115,Davis County
112038,11,2038,160604,437968,2.73,255806,24455,13174,11171,13167,29615,45694,20456,65145,694,482,20482,11271,Davis County
112039,11,2039,162743,442568,2.72,258692,24634,13328,11117,13272,30261,46083,20718,65908,689,481,20774,11427,Davis County
112040,11,2040,164844,447136,2.71,261553,24810,13482,11060,13375,30906,46467,20979,66665,684,480,21064,11581,Davis County
112041,11,2041,166900,451668,2.71,264390,24984,13637,11006,13453,31658,46839,21197,67433,682,479,21283,11739,Davis County
112042,11,2042,168827,456128,2.7,267206,25161,13790,10949,13529,32410,47206,21413,68195,680,477,21500,11896,Davis County
112043,11,2043,170645,460463,2.7,270003,25330,13943,10891,13605,33161,47569,21628,68954,677,476,21716,12053,Davis County
112044,11,2044,172455,464686,2.69,272782,25498,14095,10831,13679,33913,47928,21842,69707,675,475,21930,12209,Davis County
112045,11,2045,174162,468802,2.69,275547,25667,14246,10770,13751,34664,48284,22054,70457,672,473,22143,12366,Davis County
