,scenarioID,tdmVersion,tdmVersionWithDate,scenarioName,scenarioGroup,scenarioYear,PERIOD,TRIPPURP,MODE,TRIPS,modeGroup
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,TIP_2024,TIP,2024,DY,ALL,BRT,13945,4d: Bus-Rapid Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2030,RTP,2030,DY,ALL,BRT,20178,4d: Bus-Rapid Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2040,RTP,2040,DY,ALL,BRT,23847,4d: Bus-Rapid Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2050,RTP,2050,DY,ALL,BRT,24804,4d: Bus-Rapid Transit
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,BY_2019,BY,2019,DY,ALL,EXP,753,4c: Express Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,TIP_2024,TIP,2024,DY,ALL,EXP,782,4c: Express Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2030,RTP,2030,DY,ALL,EXP,1225,4c: Express Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2040,RTP,2040,DY,ALL,EXP,1247,4c: Express Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2050,RTP,2050,DY,ALL,EXP,1231,4c: Express Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,BY_2019,BY,2019,DY,ALL,COR,754,4b: Core Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,TIP_2024,TIP,2024,DY,ALL,COR,15110,4b: Core Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2030,RTP,2030,DY,ALL,COR,50691,4b: Core Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2040,RTP,2040,DY,ALL,COR,59647,4b: Core Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2050,RTP,2050,DY,ALL,COR,75608,4b: Core Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,BY_2019,BY,2019,DY,ALL,LCL,39715,4a: Local Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,TIP_2024,TIP,2024,DY,ALL,LCL,35944,4a: Local Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2030,RTP,2030,DY,ALL,LCL,25682,4a: Local Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2040,RTP,2040,DY,ALL,LCL,26343,4a: Local Bus
0,8.3.2,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2050,RTP,2050,DY,ALL,LCL,25679,4a: Local Bus
0,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,Walk,0,1: Non-Motorized
1,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,Walk,0,1a: Walk
2,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBC,Walk,0,0: Total
3,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,Walk,305697,1: Non-Motorized
4,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,Walk,305697,1a: Walk
5,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBO,Walk,305697,0: Total
6,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,Walk,88348,1: Non-Motorized
7,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,Walk,88348,1a: Walk
8,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBS,Walk,88348,0: Total
9,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,Walk,21720,1: Non-Motorized
10,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,Walk,21720,1a: Walk
11,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,HBW,Walk,21720,0: Total
12,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,Walk,106249,1: Non-Motorized
13,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,Walk,106249,1a: Walk
14,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Ok,NHB,Walk,106249,0: Total
15,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,Walk,16420,1: Non-Motorized
16,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,Walk,16420,1a: Walk
17,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBC,Walk,16420,0: Total
18,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBO,Walk,124615,1: Non-Motorized
19,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBO,Walk,124615,1a: Walk
20,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBO,Walk,124615,0: Total
21,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBS,Walk,181417,1: Non-Motorized
22,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBS,Walk,181417,1a: Walk
23,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBS,Walk,181417,0: Total
24,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBW,Walk,25410,1: Non-Motorized
25,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBW,Walk,25410,1a: Walk
26,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,HBW,Walk,25410,0: Total
27,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,NHB,Walk,25205,1: Non-Motorized
28,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,NHB,Walk,25205,1a: Walk
29,9.01,v9,WF TDM v9.0 - official,BY_2019,BY,2019,Pk,NHB,Walk,25205,0: Total
90,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBC,Walk,0,1: Non-Motorized
91,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBC,Walk,0,1a: Walk
92,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBC,Walk,0,0: Total
93,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBO,Walk,327291,1: Non-Motorized
94,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBO,Walk,327291,1a: Walk
95,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBO,Walk,327291,0: Total
96,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBS,Walk,90411,1: Non-Motorized
97,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBS,Walk,90411,1a: Walk
98,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBS,Walk,90411,0: Total
99,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBW,Walk,22240,1: Non-Motorized
100,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBW,Walk,22240,1a: Walk
101,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,HBW,Walk,22240,0: Total
102,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,NHB,Walk,112497,1: Non-Motorized
103,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,NHB,Walk,112497,1a: Walk
104,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Ok,NHB,Walk,112497,0: Total
105,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBC,Walk,17176,1: Non-Motorized
106,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBC,Walk,17176,1a: Walk
107,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBC,Walk,17176,0: Total
108,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBO,Walk,133148,1: Non-Motorized
109,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBO,Walk,133148,1a: Walk
110,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBO,Walk,133148,0: Total
111,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBS,Walk,185652,1: Non-Motorized
112,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBS,Walk,185652,1a: Walk
113,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBS,Walk,185652,0: Total
114,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBW,Walk,26247,1: Non-Motorized
115,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBW,Walk,26247,1a: Walk
116,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,HBW,Walk,26247,0: Total
117,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,NHB,Walk,26728,1: Non-Motorized
118,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,NHB,Walk,26728,1a: Walk
119,9.02,v9,WF TDM v9.0 - official,BY_2023,BY,2023,Pk,NHB,Walk,26728,0: Total
180,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBC,Walk,0,1: Non-Motorized
181,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBC,Walk,0,1a: Walk
182,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBC,Walk,0,0: Total
183,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBO,Walk,383752,1: Non-Motorized
184,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBO,Walk,383752,1a: Walk
185,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBO,Walk,383752,0: Total
186,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBS,Walk,90968,1: Non-Motorized
187,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBS,Walk,90968,1a: Walk
188,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBS,Walk,90968,0: Total
189,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBW,Walk,27513,1: Non-Motorized
190,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBW,Walk,27513,1a: Walk
191,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,HBW,Walk,27513,0: Total
192,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,NHB,Walk,129994,1: Non-Motorized
193,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,NHB,Walk,129994,1a: Walk
194,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Ok,NHB,Walk,129994,0: Total
195,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBC,Walk,17821,1: Non-Motorized
196,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBC,Walk,17821,1a: Walk
197,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBC,Walk,17821,0: Total
198,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBO,Walk,155462,1: Non-Motorized
199,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBO,Walk,155462,1a: Walk
200,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBO,Walk,155462,0: Total
201,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBS,Walk,186797,1: Non-Motorized
202,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBS,Walk,186797,1a: Walk
203,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBS,Walk,186797,0: Total
204,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBW,Walk,32849,1: Non-Motorized
205,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBW,Walk,32849,1a: Walk
206,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,HBW,Walk,32849,0: Total
207,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,NHB,Walk,30918,1: Non-Motorized
208,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,NHB,Walk,30918,1a: Walk
209,9.13,v9,WF TDM v9.0 - official,RTP_2032,RTP,2032,Pk,NHB,Walk,30918,0: Total
270,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBC,Walk,0,1: Non-Motorized
271,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBC,Walk,0,1a: Walk
272,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBC,Walk,0,0: Total
273,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBO,Walk,450293,1: Non-Motorized
274,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBO,Walk,450293,1a: Walk
275,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBO,Walk,450293,0: Total
276,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBS,Walk,90283,1: Non-Motorized
277,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBS,Walk,90283,1a: Walk
278,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBS,Walk,90283,0: Total
279,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBW,Walk,32518,1: Non-Motorized
280,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBW,Walk,32518,1a: Walk
281,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,HBW,Walk,32518,0: Total
282,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,NHB,Walk,150912,1: Non-Motorized
283,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,NHB,Walk,150912,1a: Walk
284,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Ok,NHB,Walk,150912,0: Total
285,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBC,Walk,18029,1: Non-Motorized
286,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBC,Walk,18029,1a: Walk
287,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBC,Walk,18029,0: Total
288,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBO,Walk,181543,1: Non-Motorized
289,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBO,Walk,181543,1a: Walk
290,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBO,Walk,181543,0: Total
291,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBS,Walk,185390,1: Non-Motorized
292,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBS,Walk,185390,1a: Walk
293,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBS,Walk,185390,0: Total
294,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBW,Walk,39122,1: Non-Motorized
295,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBW,Walk,39122,1a: Walk
296,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,HBW,Walk,39122,0: Total
297,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,NHB,Walk,35906,1: Non-Motorized
298,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,NHB,Walk,35906,1a: Walk
299,9.15,v9,WF TDM v9.0 - official,RTP_2042,RTP,2042,Pk,NHB,Walk,35906,0: Total
360,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBC,Walk,0,1: Non-Motorized
361,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBC,Walk,0,1a: Walk
362,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBC,Walk,0,0: Total
363,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBO,Walk,494909,1: Non-Motorized
364,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBO,Walk,494909,1a: Walk
365,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBO,Walk,494909,0: Total
366,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBS,Walk,88665,1: Non-Motorized
367,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBS,Walk,88665,1a: Walk
368,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBS,Walk,88665,0: Total
369,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBW,Walk,35200,1: Non-Motorized
370,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBW,Walk,35200,1a: Walk
371,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,HBW,Walk,35200,0: Total
372,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,NHB,Walk,166656,1: Non-Motorized
373,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,NHB,Walk,166656,1a: Walk
374,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Ok,NHB,Walk,166656,0: Total
375,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBC,Walk,18597,1: Non-Motorized
376,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBC,Walk,18597,1a: Walk
377,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBC,Walk,18597,0: Total
378,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBO,Walk,199017,1: Non-Motorized
379,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBO,Walk,199017,1a: Walk
380,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBO,Walk,199017,0: Total
381,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBS,Walk,182066,1: Non-Motorized
382,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBS,Walk,182066,1a: Walk
383,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBS,Walk,182066,0: Total
384,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBW,Walk,42589,1: Non-Motorized
385,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBW,Walk,42589,1a: Walk
386,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,HBW,Walk,42589,0: Total
387,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,NHB,Walk,39699,1: Non-Motorized
388,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,NHB,Walk,39699,1a: Walk
389,9.16,v9,WF TDM v9.0 - official,RTP_2050,RTP,2050,Pk,NHB,Walk,39699,0: Total
450,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBC,Walk,0,1: Non-Motorized
451,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBC,Walk,0,1a: Walk
452,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBC,Walk,0,0: Total
453,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBO,Walk,362080,1: Non-Motorized
454,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBO,Walk,362080,1a: Walk
455,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBO,Walk,362080,0: Total
456,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBS,Walk,91386,1: Non-Motorized
457,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBS,Walk,91386,1a: Walk
458,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBS,Walk,91386,0: Total
459,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBW,Walk,25970,1: Non-Motorized
460,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBW,Walk,25970,1a: Walk
461,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,HBW,Walk,25970,0: Total
462,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,NHB,Walk,123955,1: Non-Motorized
463,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,NHB,Walk,123955,1a: Walk
464,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Ok,NHB,Walk,123955,0: Total
465,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBC,Walk,17571,1: Non-Motorized
466,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBC,Walk,17571,1a: Walk
467,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBC,Walk,17571,0: Total
468,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBO,Walk,147011,1: Non-Motorized
469,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBO,Walk,147011,1a: Walk
470,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBO,Walk,147011,0: Total
471,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBS,Walk,187654,1: Non-Motorized
472,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBS,Walk,187654,1a: Walk
473,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBS,Walk,187654,0: Total
474,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBW,Walk,30967,1: Non-Motorized
475,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBW,Walk,30967,1a: Walk
476,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,HBW,Walk,30967,0: Total
477,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,NHB,Walk,29493,1: Non-Motorized
478,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,NHB,Walk,29493,1a: Walk
479,9.18,v9,WF TDM v9.0 - official,TIP_2028,TIP,2028,Pk,NHB,Walk,29493,0: Total
540,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBC,Walk,0,1: Non-Motorized
541,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBC,Walk,0,1a: Walk
542,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBC,Walk,0,0: Total
543,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBO,Walk,381997,1: Non-Motorized
544,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBO,Walk,381997,1a: Walk
545,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBO,Walk,381997,0: Total
546,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBS,Walk,90724,1: Non-Motorized
547,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBS,Walk,90724,1a: Walk
548,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBS,Walk,90724,0: Total
549,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBW,Walk,27303,1: Non-Motorized
550,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBW,Walk,27303,1a: Walk
551,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,HBW,Walk,27303,0: Total
552,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,NHB,Walk,128756,1: Non-Motorized
553,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,NHB,Walk,128756,1a: Walk
554,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Ok,NHB,Walk,128756,0: Total
555,9.06,v9,WF TDM v9.0 - official,Needs_2032,Needs,2032,Pk,HBC,Walk,17510,1: Non-Motorized
