Version,Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV
v9,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v9,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
v832,2,0.9998,0.9998,0.851671,1,0.9192479,0.9563057,0.9998,0.9998,0.3331734,0.3065848,0.93,0.9923661,0,0,0.9,0,0,0
v832,4,0.6091692,0.91,0.5589307,1,0.1908059,0.7885,0.5660566,0.6091692,0.1321442,0.1128508,0.86,0.9549386,0,0,0.675,0,0,0
v832,6,0.1903233,0.7425,0.2094894,0.2695299,0.0175827,0.5972,0.3537017,0.1903233,0.0766935,0.0625721,0.79,0.8688088,0,0,0.375,0,0,0
v832,8,0.098,0.365,0.076413,0.0146029,0.0034981,0.3764493,0.1873394,0.098,0.0520692,0.0410993,0.72,0.7319701,0,0,0.2,0,0,0
v832,10,0.0695,0.195,0.0476643,0.003932,0.0016182,0.2308289,0.1051581,0.0695,0.0385353,0.0296365,0.65,0.5749666,0,0,0.14,0,0,0
v832,12,0.057,0.1093811,0.0282617,0.0017741,0.0011222,0.1575953,0.0671499,0.057,0.0301221,0.0226755,0.618,0.4369421,0,0,0.115,0,0,0
v832,14,0.0468947,0.0571959,0.0161417,0.0007396,0.0007482,0.0994599,0.0417804,0.0468947,0.024453,0.0180756,0.586,0.3583903,0,0,0.0960441,0,0,0
v832,16,0.0398383,0.0381726,0.0107145,0.0005896,0.0004702,0.0726387,0.032342,0.0398383,0.0204086,0.0148488,0.554,0.3163803,0,0,0.084,0,0,0
v832,18,0.0340044,0.022071,0.0078903,0.0005128,0.000332,0.0541294,0.020693,0.0340044,0.017398,0.012482,0.522,0.2910523,0,0,0.0695,0,0,0
v832,20,0.0291683,0.0152802,0.0056513,0.0004392,0.0002382,0.0381282,0.0151485,0.0291683,0.0150818,0.0106849,0.49,0.2689028,0,0,0.0586015,0,0,0
v832,22,0.0251759,0.011704,0.0042348,0.0003495,0.0001556,0.031,0.0107676,0.0251759,0.0132523,0.0092822,0.4625322,0.2483577,0,0,0.055775,0,0,0
v832,24,0.0220164,0.0080528,0.0033141,0.0002519,0.0000725,0.0265,0.0082809,0.0220164,0.0117758,0.0081624,0.4350644,0.2278651,0,0,0.0529484,0,0,0
v832,26,0.0193861,0.0051778,0.0027047,0.0001624,0.000048,0.0236007,0.0066342,0.0193861,0.0105628,0.0072515,0.4075966,0.207758,0,0,0.0501219,0,0,0
v832,28,0.0171271,0.0037629,0.0022013,0.0001045,0.0000381,0.0207015,0.0052493,0.0171271,0.009551,0.0064986,0.3801288,0.1916977,0,0,0.0472953,0,0,0
v832,30,0.0151718,0.0028793,0.0017955,0.0000697,0.0000308,0.017988,0.0042283,0.0151718,0.008696,0.0058679,0.352661,0.1789855,0,0,0.0444688,0,0,0
v832,32,0.0136176,0.0021663,0.0014955,0.0000421,0.0000261,0.0155086,0.003639,0.0136176,0.0079764,0.0053799,0.3250434,0.1678619,0,0,0.0396453,0,0,0
v832,34,0.0121883,0.0016522,0.0012694,0.0000283,0.0000226,0.0131256,0.0031173,0.0121883,0.0072568,0.0048919,0.2974258,0.1570683,0,0,0.0348218,0,0,0
v832,36,0.0107445,0.0013066,0.0010653,0.0000183,0.0000202,0.0109367,0.0026625,0.0107445,0.0065372,0.0044039,0.2698082,0.1467546,0,0,0.0299983,0,0,0
v832,38,0.0096028,0.0010552,0.0008787,0.0000151,0.0000181,0.0091252,0.0022666,0.0096028,0.0058176,0.0039159,0.2421906,0.1379062,0,0,0.0251749,0,0,0
v832,40,0.0086684,0.0008669,0.0007168,0.000013,0.000016,0.0078227,0.0019459,0.0086684,0.005098,0.0034279,0.214573,0.1308197,0,0,0.0203514,0,0,0
v832,42,0.0079583,0.0006975,0.0006001,0.0000116,0.0000146,0.0069182,0.001722,0.0079583,0.0043784,0.0029399,0.2029379,0.1243463,0,0,0.0193981,0,0,0
v832,44,0.0074566,0.0005449,0.0005146,0.0000076,0.0000132,0.0062223,0.0015657,0.0074566,0.0036588,0.0024519,0.1913028,0.117844,0,0,0.0184448,0,0,0
v832,46,0.006864,0.0004237,0.0004583,0.0000035,0.0000121,0.005765,0.0014478,0.006864,0.0029392,0.001964,0.1796677,0.1116923,0,0,0.0174916,0,0,0
v832,48,0.0063682,0.0003406,0.0004106,0,0.0000111,0.005243,0.00133,0.0063682,0.0022196,0.001476,0.1680325,0.1058313,0,0,0.0165383,0,0,0
v832,50,0.0059094,0.0002828,0.0003673,0,0.0000103,0.0047162,0.0012525,0.0059094,0.0015,0.000988,0.1563974,0.1003308,0,0,0.015585,0,0,0
v832,52,0.0054769,0.0002423,0.0003267,0,0.0000097,0.0041676,0.0011749,0.0054769,0.00131,0.0005,0.1460912,0.0950558,0,0,0.0147264,0,0,0
v832,54,0.0050812,0.000212,0.0002917,0,0.0000093,0.0036986,0.0010942,0.0050812,0.00112,0.00035,0.1357849,0.0896423,0,0,0.0138677,0,0,0
v832,56,0.0047068,0.0001873,0.000264,0,0.0000087,0.0033587,0.001019,0.0047068,0.00093,0.00028,0.1254787,0.084765,0,0,0.013009,0,0,0
v832,58,0.0043624,0.0001641,0.0002362,0,0.0000081,0.0031691,0.0009437,0.0043624,0.00074,0.00024,0.1151725,0.0802445,0,0,0.0121503,0,0,0
v832,60,0.0040592,0.0001459,0.0002085,0,0.0000074,0.0030549,0.0008777,0.0040592,0.00055,0.0002,0.1048662,0.0758952,0,0,0.0112917,0,0,0
v832,62,0.0037136,0.0001293,0.000188,0,0.0000068,0.0029407,0.0008119,0.0037136,0.0004,0.00018,0.0984045,0.0715437,0,0,0.0108237,0,0,0
v832,64,0.0033966,0.0001144,0.0001725,0,0.0000063,0.0028528,0.000754,0.0033966,0.0003,0.00015,0.0919429,0.0674551,0,0,0.0103557,0,0,0
v832,66,0.0031052,0.0001054,0.0001567,0,0.0000058,0.0027647,0.0006976,0.0031052,0.0002,0.00012,0.0854812,0.0635105,0,0,0.0098877,0,0,0
v832,68,0.0028203,0.0000992,0.0001425,0,0.0000051,0.0026648,0.0006441,0.0028203,0.00015,0.00011,0.0790195,0.0602528,0,0,0.0094197,0,0,0
v832,70,0.0025505,0.000093,0.0001303,0,0.0000047,0.002571,0.0005936,0.0025505,0.00014,0.0001,0.0725578,0.0571263,0,0,0.0089517,0,0,0
v832,72,0.0023114,0.0000879,0.0001198,0,0.0000043,0.0024526,0.0005478,0.0023114,0.000125,0.00009,0.070064,0.0537447,0,0,0.00858,0,0,0
v832,74,0.0020738,0.0000828,0.0001102,0,0.0000038,0.002336,0.0005071,0.0020738,0.00011,0.00008,0.0675702,0.0507666,0,0,0.0082083,0,0,0
v832,76,0.0018776,0.0000778,0.0001018,0,0.0000035,0.0022016,0.0004699,0.0018776,0.000105,0.000075,0.0650764,0.0482433,0,0,0.0078367,0,0,0
v832,78,0.0017131,0.0000724,0.0000952,0,0.0000031,0.002049,0.0004387,0.0017131,0.0001,0.00007,0.0625827,0.0460599,0,0,0.007465,0,0,0
v832,80,0.0015573,0.0000683,0.000086,0,0.0000028,0.0019171,0.0004097,0.0015573,0.000095,0.0000625,0.0600889,0.0438717,0,0,0.0070934,0,0,0
v832,82,0.0014128,0.0000646,0.0000788,0,0.0000026,0.0017743,0.0003831,0.0014128,0.00009,0.000055,0.0592981,0.0417251,0,0,0.0068696,0,0,0
v832,84,0.0012873,0.0000615,0.0000731,0,0.0000023,0.001644,0.0003612,0.0012873,0.000085,0.0000475,0.0585074,0.0397223,0,0,0.0066458,0,0,0
v832,86,0.0011802,0.0000577,0.0000671,0,0.0000021,0.0015207,0.0003402,0.0011802,0.00008,0.00004,0.0577167,0.0380809,0,0,0.006422,0,0,0
v832,88,0.0010832,0.0000539,0.0000618,0,0.0000019,0.0014029,0.000319,0.0010832,0.000075,0.0000325,0.0569259,0.03639,0,0,0.0061982,0,0,0
v832,90,0.0009921,0.0000492,0.0000569,0,0.0000017,0.0012894,0.0003009,0.0009921,0.00007,0.000025,0.0561352,0.034833,0,0,0.0059744,0,0,0
v832,92,0.0009089,0.0000456,0.0000526,0,0.0000016,0.0011921,0.0002805,0.0009089,0.00006,0.0000175,0.0546216,0.0333768,0,0,0.0057893,0,0,0
v832,94,0.0008388,0.0000421,0.0000499,0,0.0000014,0.0010859,0.0002624,0.0008388,0.00005,0.00001,0.053108,0.0320027,0,0,0.0056042,0,0,0
v832,96,0.000787,0.000038,0.0000474,0,0.0000013,0.0010024,0.0002471,0.000787,0.00004,0.000005,0.0515943,0.0308723,0,0,0.0054191,0,0,0
v832,98,0.0007391,0.0000345,0.0000449,0,0.0000012,0.0009301,0.0002326,0.0007391,0.00003,0,0.0500807,0.0297952,0,0,0.005234,0,0,0
v832,100,0.0006911,0.000031,0.0000417,0,0.000001,0.0008666,0.0002195,0.0006911,0.000025,0.000005,0.0485671,0.0286996,0,0,0.005049,0,0,0
v832,102,0.0006551,0.0000304,0.00004,0,0.0000009,0.000812,0.0002075,0.0006551,0.00002,0.0000046,0.0470358,0.0276566,0,0,0.0047532,0,0,0
v832,104,0.0006192,0.0000298,0.0000388,0,0.0000007,0.000764,0.0001949,0.0006192,0.0000175,0.0000043,0.0455044,0.0267136,0,0,0.0044575,0,0,0
v832,106,0.0005833,0.0000292,0.0000379,0,0.0000005,0.000714,0.0001849,0.0005833,0.000015,0.0000039,0.0439731,0.0257593,0,0,0.0041618,0,0,0
v832,108,0.0005474,0.0000286,0.0000374,0,0.0000004,0.0006738,0.0001752,0.0005474,0.0000135,0.0000036,0.0424418,0.0248467,0,0,0.003866,0,0,0
v832,110,0.0005115,0.000028,0.0000372,0,0.0000003,0.0006345,0.000166,0.0005115,0.000012,0.0000032,0.0409104,0.023945,0,0,0.0035703,0,0,0
v832,112,0.0004955,0.0000277,0.0000367,0,0.0000002,0.0005957,0.000159,0.0004955,0.000011,0.0000029,0.0396855,0.0230739,0,0,0.003372,0,0,0
v832,114,0.0004794,0.0000274,0.0000363,0,0,0.0005651,0.0001511,0.0004794,0.00001,0.0000025,0.0384605,0.0223113,0,0,0.0031737,0,0,0
v832,116,0.0004634,0.0000271,0.0000359,0,0,0.000532,0.0001444,0.0004634,0.0000095,0.0000021,0.0372355,0.0215581,0,0,0.0029754,0,0,0
v832,118,0.0004474,0.0000268,0.0000355,0,0,0.0005004,0.0001385,0.0004474,0.000009,0.0000018,0.0360106,0.020781,0,0,0.0027772,0,0,0
v832,120,0.0004313,0.0000265,0.000035,0,0,0.0004749,0.000133,0.0004313,0.000008,0.0000014,0.0347856,0.0200519,0,0,0.0025789,0,0,0
v832,122,0.0004168,0.0000264,0.000034,0,0,0.000451,0.0001276,0.0004168,0.0000072,0.0000011,0.0337144,0.0193536,0,0,0.0024367,0,0,0
v832,124,0.0004023,0.0000263,0.0000329,0,0,0.000427,0.000124,0.0004023,0.0000064,0.0000007,0.0326432,0.0186935,0,0,0.0022946,0,0,0
v832,126,0.0003878,0.0000262,0.0000318,0,0,0.000407,0.0001195,0.0003878,0.0000056,0.0000004,0.031572,0.0180572,0,0,0.0021524,0,0,0
v832,128,0.0003733,0.0000261,0.0000308,0,0,0.0003852,0.0001159,0.0003733,0.0000048,0,0.0305008,0.0174359,0,0,0.0020103,0,0,0
v832,130,0.0003588,0.000026,0.0000297,0,0,0.0003615,0.0001146,0.0003588,0.000004,0,0.0294296,0.0167895,0,0,0.0018681,0,0,0
v832,132,0.0003453,0.0000259,0.0000287,0,0,0.0003374,0.0001134,0.0003453,0.0000032,0,0.0289251,0.0161949,0,0,0.0018119,0,0,0
v832,134,0.0003319,0.0000258,0.0000276,0,0,0.0003113,0.0001123,0.0003319,0.0000024,0,0.0284207,0.0155981,0,0,0.0017557,0,0,0
v832,136,0.0003184,0.0000257,0.0000266,0,0,0.0002827,0.0001102,0.0003184,0.0000016,0,0.0279163,0.0150026,0,0,0.0016995,0,0,0
v832,138,0.000305,0.0000256,0.0000256,0,0,0.0002584,0.0001072,0.000305,0.0000008,0,0.0274119,0.0144337,0,0,0.0016433,0,0,0
v832,140,0.0002915,0.0000255,0.0000245,0,0,0.0002321,0.0001063,0.0002915,0,0,0.0269075,0.0138546,0,0,0.0015871,0,0,0
v832,142,0.0002773,0.0000245,0.0000228,0,0,0.0002065,0.0001051,0.0002773,0,0,0.0266453,0.0132987,0,0,0.0015731,0,0,0
v832,144,0.000263,0.0000235,0.0000211,0,0,0.0001862,0.0001038,0.000263,0,0,0.0263831,0.012752,0,0,0.001559,0,0,0
v832,146,0.0002488,0.0000226,0.0000194,0,0,0.0001662,0.0001034,0.0002488,0,0,0.026121,0.0122153,0,0,0.0015449,0,0,0
v832,148,0.0002346,0.0000216,0.0000177,0,0,0.0001496,0.0001021,0.0002346,0,0,0.0258588,0.0116753,0,0,0.0015309,0,0,0
v832,150,0.0002203,0.0000206,0.000016,0,0,0.0001381,0.0001014,0.0002203,0,0,0.0255966,0.0111836,0,0,0.0015168,0,0,0
v832,152,0.000208,0.0000194,0.0000149,0,0,0.0001321,0.000102,0.000208,0,0,0.0252918,0.0106724,0,0,0.0015806,0,0,0
v832,154,0.0001956,0.0000183,0.0000138,0,0,0.0001262,0.0001021,0.0001956,0,0,0.024987,0.0102029,0,0,0.0016443,0,0,0
v832,156,0.0001832,0.0000171,0.0000126,0,0,0.0001203,0.0001031,0.0001832,0,0,0.0246822,0.0097305,0,0,0.0017081,0,0,0
v832,158,0.0001709,0.000016,0.0000115,0,0,0.0001143,0.000104,0.0001709,0,0,0.0243774,0.0091795,0,0,0.0017718,0,0,0
v832,160,0.0001585,0.0000148,0.0000103,0,0,0.0001084,0.0001038,0.0001585,0,0,0.0240726,0.0085866,0,0,0.0018356,0,0,0
v832,162,0.000145,0.0000134,0.0000099,0,0,0.0001112,0.0001042,0.000145,0,0,0.0237795,0.0079375,0,0,0.0018685,0,0,0
v832,164,0.0001315,0.000012,0.0000095,0,0,0.0001141,0.0001049,0.0001315,0,0,0.0234863,0.0072995,0,0,0.0019013,0,0,0
v832,166,0.0001181,0.00001,0.0000091,0,0,0.0001169,0.000103,0.0001181,0,0,0.0231931,0.0066583,0,0,0.0019342,0,0,0
v832,168,0.0001046,0.000006,0.0000087,0,0,0.0001198,0.0000994,0.0001046,0,0,0.0228999,0.0060041,0,0,0.0019671,0,0,0
v832,170,0.0000911,0,0.0000083,0,0,0.0001226,0.0000942,0.0000911,0,0,0.0226067,0.0052899,0,0,0.002,0,0,0
v832,172,0.000081,0,0.0000083,0,0,0.0001262,0.0000881,0.000081,0,0,0.0224324,0.0046044,0,0,0.0021,0,0,0
v832,174,0.0000708,0,0.0000083,0,0,0.0001299,0.0000822,0.0000708,0,0,0.0222581,0.0038987,0,0,0.0022,0,0,0
v832,176,0.0000607,0,0.0000083,0,0,0.0001336,0.0000753,0.0000607,0,0,0.0220839,0.0031213,0,0,0.0023,0,0,0
v832,178,0.0000506,0,0.0000082,0,0,0.0001372,0.000068,0.0000506,0,0,0.0219096,0.0022186,0,0,0.0024,0,0,0
v832,180,0.0000405,0,0.0000082,0,0,0.0001409,0.0000644,0.0000405,0,0,0.0217353,0.0012697,0,0,0.0025,0,0,0
v832,182,0.0000405,0,0.0000082,0,0,0.0001436,0.0000597,0.0000405,0,0,0.0215268,0.000541,0,0,0.0029122,0,0,0
v832,184,0.0000405,0,0.0000081,0,0,0.0001463,0.000055,0.0000405,0,0,0.0213183,0.0001441,0,0,0.0033244,0,0,0
v832,186,0.0000405,0,0.0000081,0,0,0.000149,0.0000492,0.0000405,0,0,0.0211098,0.0000166,0,0,0.0037366,0,0,0
v832,188,0.0000405,0,0.000008,0,0,0.0001517,0.0000434,0.0000405,0,0,0.0209013,0,0,0,0.0041488,0,0,0
v832,190,0.0000405,0,0.0000079,0,0,0.0001544,0.0000353,0.0000405,0,0,0.0206928,0,0,0,0.004561,0,0,0
v832,192,0.0000405,0,0.0000079,0,0,0.000153,0.0000276,0.0000405,0,0,0.0203965,0,0,0,0.0044781,0,0,0
v832,194,0.0000405,0,0.0000078,0,0,0.000147,0.0000182,0.0000405,0,0,0.0201002,0,0,0,0.0043952,0,0,0
v832,196,0.0000405,0,0.0000078,0,0,0.000135,0.0000091,0.0000405,0,0,0.0198039,0,0,0,0.0043123,0,0,0
v832,198,0.0000405,0,0.0000077,0,0,0.0001119,0,0.0000405,0,0,0.0195076,0,0,0,0.0042294,0,0,0
v832,200,0.0000405,0,0.0000076,0,0,0.0000888,0,0.0000405,0,0,0.0192113,0,0,0,0.0041465,0,0,0
v832,202,0.0000405,0,0.0000075,0,0,0.0000637,0,0.0000405,0,0,0.0188078,0,0,0,0.0040897,0,0,0
v832,204,0.0000405,0,0.0000074,0,0,0.0000372,0,0.0000405,0,0,0.0184042,0,0,0,0.0040328,0,0,0
v832,206,0.0000405,0,0.0000073,0,0,0.000001,0,0.0000405,0,0,0.0180006,0,0,0,0.0039759,0,0,0
v832,208,0.0000405,0,0.0000072,0,0,0.0000005,0,0.0000405,0,0,0.017597,0,0,0,0.0039191,0,0,0
v832,210,0.0000405,0,0.0000071,0,0,0,0,0.0000405,0,0,0.0171934,0,0,0,0.0038622,0,0,0
v832,212,0.0000411,0,0.0000068,0,0,0,0,0.0000411,0,0,0.0165832,0,0,0,0.0034549,0,0,0
v832,214,0.0000417,0,0.0000063,0,0,0,0,0.0000417,0,0,0.0159731,0,0,0,0.0030476,0,0,0
v832,216,0.0000423,0,0.0000053,0,0,0,0,0.0000423,0,0,0.015363,0,0,0,0.0026402,0,0,0
v832,218,0.0000429,0,0.0000043,0,0,0,0,0.0000429,0,0,0.0147529,0,0,0,0.0022329,0,0,0
v832,220,0.0000435,0,0.0000035,0,0,0,0,0.0000435,0,0,0.0141427,0,0,0,0.0018256,0,0,0
v832,222,0.0000491,0,0,0,0,0,0,0.0000491,0,0,0.013507,0,0,0,0.0017799,0,0,0
v832,224,0.0000547,0,0,0,0,0,0,0.0000547,0,0,0.0128712,0,0,0,0.0017342,0,0,0
v832,226,0.0000604,0,0,0,0,0,0,0.0000604,0,0,0.0122355,0,0,0,0.0016885,0,0,0
v832,228,0.000066,0,0,0,0,0,0,0.000066,0,0,0.0115997,0,0,0,0.0016428,0,0,0
v832,230,0.0000716,0,0,0,0,0,0,0.0000716,0,0,0.010964,0,0,0,0.0015971,0,0,0
v832,232,0.0000801,0,0,0,0,0,0,0.0000801,0,0,0.0105589,0,0,0,0.0014613,0,0,0
v832,234,0.0000885,0,0,0,0,0,0,0.0000885,0,0,0.0101538,0,0,0,0.0013254,0,0,0
v832,236,0.0000969,0,0,0,0,0,0,0.0000969,0,0,0.0097487,0,0,0,0.0011896,0,0,0
v832,238,0.0001053,0,0,0,0,0,0,0.0001053,0,0,0.0093436,0,0,0,0.0010537,0,0,0
v832,240,0.0001138,0,0,0,0,0,0,0.0001138,0,0,0.0089385,0,0,0,0.0009179,0,0,0
v832,242,0.0001167,0,0,0,0,0,0,0.0001167,0,0,0.0087062,0,0,0,0.0008554,0,0,0
v832,244,0.0001165,0,0,0,0,0,0,0.0001165,0,0,0.0084738,0,0,0,0.0007929,0,0,0
v832,246,0.00011,0,0,0,0,0,0,0.00011,0,0,0.0082415,0,0,0,0.0007304,0,0,0
v832,248,0.0001,0,0,0,0,0,0,0.0001,0,0,0.0080092,0,0,0,0.000668,0,0,0
v832,250,0.00008,0,0,0,0,0,0,0.00008,0,0,0.0077768,0,0,0,0.0006055,0,0,0
v832,252,0.0000481,0,0,0,0,0,0,0.0000481,0,0,0.0075606,0,0,0,0.000547,0,0,0
v832,254,0,0,0,0,0,0,0,0,0,0,0.0073443,0,0,0,0.0004885,0,0,0
v832,256,0,0,0,0,0,0,0,0,0,0,0.0071281,0,0,0,0.00043,0,0,0
v832,258,0,0,0,0,0,0,0,0,0,0,0.0069118,0,0,0,0.0003715,0,0,0
v832,260,0,0,0,0,0,0,0,0,0,0,0.0066956,0,0,0,0.000313,0,0,0
v832,262,0,0,0,0,0,0,0,0,0,0,0.0066328,0,0,0,0.0002645,0,0,0
v832,264,0,0,0,0,0,0,0,0,0,0,0.0065699,0,0,0,0.0002159,0,0,0
v832,266,0,0,0,0,0,0,0,0,0,0,0.0065071,0,0,0,0.0001673,0,0,0
v832,268,0,0,0,0,0,0,0,0,0,0,0.0064443,0,0,0,0.0001188,0,0,0
v832,270,0,0,0,0,0,0,0,0,0,0,0.0063815,0,0,0,0.0000702,0,0,0
v832,272,0,0,0,0,0,0,0,0,0,0,0.0062236,0,0,0,0.0000451,0,0,0
v832,274,0,0,0,0,0,0,0,0,0,0,0.0060657,0,0,0,0.00002,0,0,0
v832,276,0,0,0,0,0,0,0,0,0,0,0.0059078,0,0,0,0.000015,0,0,0
v832,278,0,0,0,0,0,0,0,0,0,0,0.0057499,0,0,0,0.00001,0,0,0
v832,280,0,0,0,0,0,0,0,0,0,0,0.005592,0,0,0,0.000005,0,0,0
v832,282,0,0,0,0,0,0,0,0,0,0,0.0054204,0,0,0,0,0,0,0
v832,284,0,0,0,0,0,0,0,0,0,0,0.0052488,0,0,0,0,0,0,0
v832,286,0,0,0,0,0,0,0,0,0,0,0.0050772,0,0,0,0,0,0,0
v832,288,0,0,0,0,0,0,0,0,0,0,0.0049056,0,0,0,0,0,0,0
v832,290,0,0,0,0,0,0,0,0,0,0,0.0047339,0,0,0,0,0,0,0
v832,292,0,0,0,0,0,0,0,0,0,0,0.004117,0,0,0,0,0,0,0
v832,294,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0
v832,296,0,0,0,0,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,0
v832,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v832,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
