,scenarioID,PERIOD,TRIPPURP,MODE,TRIPS,tdmVersionWithDate,scenarioName,scenarioGroup,scenarioYear,modeGroup
71,1.0,pk,HBW,LRT,12499,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
72,1.0,pk,HBC,LRT,5728,WF TDM v9.1.0 - official,BY_2019,BY,2019,LRT
73,1.0,pk,HBC,LRT,5728,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
74,1.0,pk,HBO,LRT,5633,WF TDM v9.1.0 - official,BY_2019,BY,2019,LRT
75,1.0,pk,HBO,LRT,5633,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
76,1.0,pk,NHB,LRT,2344,WF TDM v9.1.0 - official,BY_2019,BY,2019,LRT
77,1.0,pk,NHB,LRT,2344,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
78,1.0,pk,HBSch,LRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,LRT
79,1.0,pk,HBSch,LRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
80,1.0,pk,HBW,CRT,7148,WF TDM v9.1.0 - official,BY_2019,BY,2019,CRT
81,1.0,pk,HBW,CRT,7148,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
82,1.0,pk,HBC,CRT,3506,WF TDM v9.1.0 - official,BY_2019,BY,2019,CRT
83,1.0,pk,HBC,CRT,3506,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
84,1.0,pk,HBO,CRT,1727,WF TDM v9.1.0 - official,BY_2019,BY,2019,CRT
85,1.0,pk,HBO,CRT,1727,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
86,1.0,pk,NHB,CRT,466,WF TDM v9.1.0 - official,BY_2019,BY,2019,CRT
87,1.0,pk,NHB,CRT,466,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
88,1.0,pk,HBSch,CRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,CRT
89,1.0,pk,HBSch,CRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
90,1.0,ok,HBW,Walk,21583,WF TDM v9.1.0 - official,BY_2019,BY,2019,Walk
91,1.0,ok,HBW,Walk,21583,WF TDM v9.1.0 - official,BY_2019,BY,2019,Non-Motorized
92,1.0,ok,HBC,Walk,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Walk
93,1.0,ok,HBC,Walk,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Non-Motorized
94,1.0,ok,HBO,Walk,304248,WF TDM v9.1.0 - official,BY_2019,BY,2019,Walk
95,1.0,ok,HBO,Walk,304248,WF TDM v9.1.0 - official,BY_2019,BY,2019,Non-Motorized
96,1.0,ok,NHB,Walk,105534,WF TDM v9.1.0 - official,BY_2019,BY,2019,Walk
97,1.0,ok,NHB,Walk,105534,WF TDM v9.1.0 - official,BY_2019,BY,2019,Non-Motorized
98,1.0,ok,HBSch,Walk,88402,WF TDM v9.1.0 - official,BY_2019,BY,2019,Walk
99,1.0,ok,HBSch,Walk,88402,WF TDM v9.1.0 - official,BY_2019,BY,2019,Non-Motorized
100,1.0,ok,HBW,Bike,10491,WF TDM v9.1.0 - official,BY_2019,BY,2019,Bike
101,1.0,ok,HBW,Bike,10491,WF TDM v9.1.0 - official,BY_2019,BY,2019,Non-Motorized
102,1.0,ok,HBC,Bike,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Bike
103,1.0,ok,HBC,Bike,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Non-Motorized
104,1.0,ok,HBO,Bike,59046,WF TDM v9.1.0 - official,BY_2019,BY,2019,Bike
105,1.0,ok,HBO,Bike,59046,WF TDM v9.1.0 - official,BY_2019,BY,2019,Non-Motorized
106,1.0,ok,NHB,Bike,10845,WF TDM v9.1.0 - official,BY_2019,BY,2019,Bike
107,1.0,ok,NHB,Bike,10845,WF TDM v9.1.0 - official,BY_2019,BY,2019,Non-Motorized
108,1.0,ok,HBSch,Bike,25905,WF TDM v9.1.0 - official,BY_2019,BY,2019,Bike
109,1.0,ok,HBSch,Bike,25905,WF TDM v9.1.0 - official,BY_2019,BY,2019,Non-Motorized
110,1.0,ok,HBW,Auto,575659,WF TDM v9.1.0 - official,BY_2019,BY,2019,Auto
111,1.0,ok,HBC,Auto,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Auto
112,1.0,ok,HBO,Auto,2755789,WF TDM v9.1.0 - official,BY_2019,BY,2019,Auto
113,1.0,ok,NHB,Auto,1530803,WF TDM v9.1.0 - official,BY_2019,BY,2019,Auto
114,1.0,ok,HBSch,Auto,40359,WF TDM v9.1.0 - official,BY_2019,BY,2019,Auto
115,1.0,ok,HBW,SchoolBus,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,SchoolBus
116,1.0,ok,HBC,SchoolBus,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,SchoolBus
117,1.0,ok,HBO,SchoolBus,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,SchoolBus
118,1.0,ok,NHB,SchoolBus,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,SchoolBus
119,1.0,ok,HBSch,SchoolBus,71014,WF TDM v9.1.0 - official,BY_2019,BY,2019,SchoolBus
120,1.0,ok,HBW,LCL,5477,WF TDM v9.1.0 - official,BY_2019,BY,2019,LCL
121,1.0,ok,HBW,LCL,5477,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
